"id","creation_date","modification_date","transaction_type_id","customer_id","status","agcode","number","due_date","payment_date","PaymentMethod","PaymentReferenceNumber","total_amount","comments","reference_number"
"a3d14d63-3a0a-4044-8abb-0064c4b399e1","2019-06-10 12:08:47.68263-03",NULL,"8aabb6d5-fd8c-4d66-8ad1-6ffaa5eb7ff6","32efded8-4c90-42dd-89ce-e2bbba47434b",1,1,"154813","2019-06-16 12:08:47.658681-03","2019-06-10 00:00:00-03","Rapipago","142639","270.0","detma.com.ar","5447499"
"67f850e2-6f99-483d-829a-0578ab8f8957","2019-06-09 17:23:59.041582-03",NULL,"8aabb6d5-fd8c-4d66-8ad1-6ffaa5eb7ff6","e3c9f2cd-6615-426b-b82d-e6b95c1d7a4d",1,1,"153338","2019-06-15 17:23:59.010011-03","2019-06-10 00:00:00-03","Rapipago","142657","270.0","talleresamalia.com.ar","5441813"
"b4cf8382-a040-4dbb-9a72-3e002a8f97c0","2019-06-10 09:58:33.452197-03",NULL,"8a9034dd-f40f-40c9-bfd6-dc2d600ceb9c","b1271406-a827-4b36-aacf-a5c99933000e",1,1,"154095","2019-06-16 09:58:33.422647-03","2019-06-10 00:00:00-03","Rapipago","142665","270.0","centrointegraldelherraje.com.ar","5444754"
"fe824a4f-0719-4600-b20d-5929814bea35","2019-06-10 10:21:44.304089-03",NULL,"8aabb6d5-fd8c-4d66-8ad1-6ffaa5eb7ff6","dc522f0a-3c7e-43ab-aa06-a6c52b64b955",1,1,"154250","2019-06-16 10:21:44.280349-03","2019-06-10 00:00:00-03","Rapipago","142672","270.0","vortexamericanasa.com.ar","5445320"
"fc7c81ae-7082-44e6-82b7-1fc3ab1e32f7","2019-06-10 10:44:05.074409-03",NULL,"8aabb6d5-fd8c-4d66-8ad1-6ffaa5eb7ff6","d2b3ce9d-498f-40d9-b41a-a3acd6a10475",1,1,"154402","2019-06-16 10:44:05.048088-03","2019-06-10 00:00:00-03","Rapipago","142677","270.0","mudanzas-en-capital-federal.com.ar","5445973"
"56065bc6-0981-42f4-9598-881f50eaf453","2019-06-10 12:25:55.281384-03",NULL,"8aabb6d5-fd8c-4d66-8ad1-6ffaa5eb7ff6","f98bdebd-e838-4b6e-8a1e-043e56ae8ebd",1,1,"154898","2019-06-16 12:25:55.25316-03","2019-06-10 00:00:00-03","Rapipago","142679","270.0","pueblademar.com.ar","5384481"
"4680223d-7769-43b0-bacd-2b29ab266046","2019-06-10 11:34:09.417202-03",NULL,"8aabb6d5-fd8c-4d66-8ad1-6ffaa5eb7ff6","44b56c90-9835-468e-92f8-8f552fab47fc",1,1,"154630","2019-06-16 11:34:09.392652-03","2019-06-10 00:00:00-03","Rapipago","142694","270.0","abelovich.com.ar","5447118"
"1872537c-9458-4839-8ec8-9f71446327de","2019-06-07 17:38:37.67775-03",NULL,"68297545-9b47-4acf-abd6-4661d2a03754","1fb05a28-6dbf-4caf-9988-16606aa981e7",1,1,"152095","2019-06-13 17:38:37.652069-03","2019-06-10 00:00:00-03","Rapipago","142695","270.0","fice.org.ar","5438035"
"c412b0d2-f290-4544-af18-704c3a4df3f3","2019-06-10 11:26:50.858925-03",NULL,"8aabb6d5-fd8c-4d66-8ad1-6ffaa5eb7ff6","1c36ba26-e9fb-417f-ac2b-e4800d2fe7fb",1,1,"154586","2019-06-16 11:26:50.837907-03","2019-06-10 00:00:00-03","Rapipago","142698","270.0","gall.com.ar","5446899"
"cd7fbaeb-f1ea-405e-b6bd-474a2b695990","2019-06-08 20:20:41.061292-03",NULL,"8aabb6d5-fd8c-4d66-8ad1-6ffaa5eb7ff6","f1a38df4-83d3-4d4f-8c13-4354f7256464",1,1,"153017","2019-06-14 20:20:41.033389-03","2019-06-10 00:00:00-03","Rapipago","142710","270.0","mcltransportes.com.ar","5440846"
"d47dbd33-a79e-4046-811d-6de6bcb7fb24","2019-06-07 09:40:00.091052-03",NULL,"8aabb6d5-fd8c-4d66-8ad1-6ffaa5eb7ff6","bfd5b062-73f9-41c8-89a4-f66639a3682c",1,1,"151081","2019-06-13 09:40:00.056696-03","2019-06-10 00:00:00-03","Rapipago","142712","270.0","coimfersa.com.ar","5429463"
"6aa049ab-13cc-408f-9ffb-967d5ea18e95","2019-06-10 00:17:37.6028-03",NULL,"8a9034dd-f40f-40c9-bfd6-dc2d600ceb9c","87b1d0c2-204d-4332-9a91-994feae6ef4c",1,1,"153619","2019-06-16 00:17:37.583143-03","2019-06-10 00:00:00-03","Rapipago","142714","270.0","agroluzaerogeneradores.com.ar","5442741"
"59d04e52-e931-4928-a007-383856b901ee","2019-06-07 10:23:07.358285-03",NULL,"8aabb6d5-fd8c-4d66-8ad1-6ffaa5eb7ff6","460d66c5-914c-40b2-b6e6-558a00b57fae",1,1,"151194","2019-06-13 10:23:07.336053-03","2019-06-10 00:00:00-03","Rapipago","142721","270.0","cabmartina.com.ar","5430333"
"ae2cf51f-9307-4e89-acf4-c8930ed11b80","2019-06-07 12:30:25.150094-03",NULL,"8aabb6d5-fd8c-4d66-8ad1-6ffaa5eb7ff6","923ed41a-6974-46b6-bb2b-82ae5eacc61e",1,1,"151524","2019-06-13 12:30:25.127254-03","2019-06-10 00:00:00-03","Rapipago","142725","270.0","galvanoplastiaalpec.com.ar","5432966"
"c493ee56-f779-4294-bb3b-216cd930c69f","2019-06-08 07:27:10.989717-03",NULL,"8aabb6d5-fd8c-4d66-8ad1-6ffaa5eb7ff6","f6ed80d3-28a9-4525-b783-f8e7f1f536c7",1,1,"152504","2019-06-14 07:27:10.971061-03","2019-06-10 00:00:00-03","Rapipago","142726","270.0","srvairtech.com.ar","5439545"
"658bf223-6852-4fcb-b03c-ef09fa3b1154","2019-06-10 12:09:13.449761-03",NULL,"8a9034dd-f40f-40c9-bfd6-dc2d600ceb9c","22ca3d95-ff57-4202-8390-1f6f13cf6a55",1,1,"154818","2019-06-16 12:09:13.418319-03","2019-06-10 00:00:00-03","Rapipago","142732","270.0","risus.com.ar","5448159"
